trade_date,industry,wp,rp,wb,rb
20180115,交通运输,0.02,-0.002980433767029611,0.03832367413922573,0.013022374320790479
20180115,休闲服务,0.02,0.07810267792039259,0.004655710818951676,0.07901732895338107
20180115,传媒,0.06,0.013326119735284678,0.018334687354013533,-0.017929552534133322
20180115,公用事业,0.0,0.0,0.0320745129928413,0.0014189161575308851
20180115,农林牧渔,0.0,0.0,0.01072973637130116,0.007701012596561177
20180115,化工,0.04,-0.013329950301335214,0.04149138649909086,0.10817822600058993
20180115,医药生物,0.12,-0.0022136774515115892,0.0556513627235253,0.02689849932173306
20180115,商业贸易,0.02,-0.005084027394485657,0.014251727105655006,0.006571333110658268
20180115,国防军工,0.0,0.0,0.01329035298293909,-0.048203700692911994
20180115,家用电器,0.1,0.11769453251334835,0.030164697349593837,0.13808071771113917
20180115,建筑材料,0.0,0.0,0.007294464456945864,0.0462139941912046
20180115,建筑装饰,0.0,0.0,0.03708755113272598,0.00816153625418107
20180115,房地产,0.06,0.09790243352719517,0.043410950017599315,0.15196590526426032
20180115,有色金属,0.04,0.004786453682976033,0.02877184714082247,0.004250377132092742
20180115,机械设备,0.08,-0.0025502964931201355,0.023691914297493767,-0.0176218107310828
20180115,汽车,0.08,-0.022391438803296387,0.032003323237029396,0.006770165047007866
20180115,电子,0.14,-0.05594526714016772,0.04520705403287193,-0.008493291168970657
20180115,电气设备,0.0,0.0,0.020595520269205737,-0.04520174649513865
20180115,纺织服装,0.0,0.0,0.0031262399356978957,-0.014018447863331354
20180115,综合,0.0,0.0,0.005184780777843049,-0.009155837174293673
20180115,计算机,0.06,-0.01636762198402279,0.020340325392901506,0.013282182633218963
20180115,轻工制造,0.0,0.0,0.004554620520085964,0.017297752441866186
20180115,通信,0.02,-0.01283353010694332,0.015029067603434748,-0.01110710203722667
20180115,采掘,0.0,0.0,0.06638919574906335,0.06387980210164682
20180115,钢铁,0.0,0.0,0.015652051434614973,0.0054817941862355946
20180115,银行,0.04,0.03269474438236519,0.2068675154239092,0.058270543850911745
20180115,非银金融,0.06,0.0440633490968263,0.1059249428710856,0.039095344099287534
20180115,食品饮料,0.04,0.08568037324700054,0.059900787369531874,0.1171306583303806
20180131,交通运输,0.04,-0.024012187889263063,0.03469454923549759,0.023102002653845988
20180131,休闲服务,0.0,0.0,0.004815808555505621,0.05402791246611609
20180131,传媒,0.02,-0.1439745817551351,0.016831867354435016,0.05336830305777479
20180131,公用事业,0.0,0.0,0.03078256880158796,-0.008183708744161574
20180131,农林牧渔,0.02,0.04557460354723864,0.010362146216873657,0.0071019453165409585
20180131,化工,0.0,0.0,0.04290730465160432,-0.01375686702143263
20180131,医药生物,0.18,-0.018280348881107626,0.05579255285744902,-0.023195708968963696
20180131,商业贸易,0.0,0.0,0.013541369023085021,0.02897937834434706
20180131,国防军工,0.0,0.0,0.012122986828161927,0.006927742289240467
20180131,家用电器,0.04,-0.01617091214971283,0.03290362620775418,-0.009546942302739583
20180131,建筑材料,0.02,-0.07580593059152452,0.007932723113513717,0.045782136273509126
20180131,建筑装饰,0.0,0.0,0.03604744206929762,0.04470758890394458
20180131,房地产,0.06,0.019303876264484415,0.04745345691810789,0.034604976596013
20180131,有色金属,0.04,0.011098754404268704,0.02774633678459302,0.008148600964785402
20180131,机械设备,0.06,-0.054104984534889294,0.022503475159760967,-0.017638845821420314
20180131,汽车,0.04,-0.03143105175841626,0.030878364927778658,-0.0063718773614897094
20180131,电子,0.1,-0.03640244797705905,0.043254122368744714,-0.059111290893832255
20180131,电气设备,0.08,0.06515351053367402,0.01950733822101799,0.011097504427982557
20180131,纺织服装,0.0,0.0,0.003064090195909924,0.006744094226748732
20180131,综合,0.0,0.0,0.00492339587333987,-0.0336756285163493
20180131,计算机,0.02,0.03933398146371792,0.01983303117734517,-0.043020940263846855
20180131,轻工制造,0.02,0.007626708052212994,0.004453650568855971,0.014020285256291126
20180131,通信,0.0,0.0,0.014277191475756162,-0.039922756947659614
20180131,采掘,0.04,0.1070845891365382,0.06852446371700169,0.04948324842357249
20180131,钢铁,0.02,0.06879675893123882,0.015082536216831137,0.09478672105456859
20180131,银行,0.06,0.08252008079058319,0.20980976054060263,0.0878947835557522
20180131,非银金融,0.06,0.06542349881075626,0.10582317641600227,-0.0011966275164921917
20180131,食品饮料,0.08,-0.02448835381540626,0.06413066452358647,-0.03675750664950745
20180214,交通运输,0.0,0.0,0.03604790780552768,-0.06728068123118203
20180214,休闲服务,0.0,0.0,0.004970018222247043,-0.009637661938805797
20180214,传媒,0.06,-0.1139758920139304,0.017299277436105123,-0.07416031291474436
20180214,公用事业,0.0,0.0,0.029893580281631478,-0.07096293749960639
20180214,农林牧渔,0.0,0.0,0.010501541873758232,-0.09185898395398973
20180214,化工,0.02,-0.054828571459631166,0.04145297009546953,-0.08944297050747818
20180214,医药生物,0.1,-0.06247356325852168,0.05360058755520277,-0.05048173763972599
20180214,商业贸易,0.02,-0.07407413993584588,0.012996086042462591,-0.0881411585314666
20180214,国防军工,0.02,-0.09789360983193829,0.011988559368273534,-0.12607632880453745
20180214,家用电器,0.06,-0.056806433949116185,0.03190907087854045,-0.044699545114130615
20180214,建筑材料,0.0,0.0,0.00812268859173984,-0.06380823856108264
20180214,建筑装饰,0.0,0.0,0.03687456987834809,-0.10592791136243523
20180214,房地产,0.04,-0.12721841302889692,0.04890956140572669,-0.13448984958657512
20180214,有色金属,0.06,0.00874055224638654,0.02694251131878328,-0.06663787857753295
20180214,机械设备,0.06,0.14314137060958043,0.02146024326506201,-0.09593648047186874
